0.000000	0.500000	Stella
0.499229	0.708209	the
0.708209	1.091338	Dog
1.091338	1.253878	was
1.253878	1.404807	having
1.404807	1.567347	an
1.567347	2.147846	ordinary
2.148000	2.268000	day
2.268000	2.426485	in
2.426485	3.181134	chicago
3.181134	3.448163	until
3.448163	3.633923	she
3.633923	3.935782	noticed
3.935782	4.098322	her
4.098322	4.469841	owners
4.469841	4.655601	had
4.655601	4.852971	left
4.852971	4.969070	the
4.969070	5.143220	door
5.143220	5.932698	open
5.933000	6.191000	she
6.191000	6.594467	decided
6.594467	6.710567	to
6.710567	6.884717	have
6.884717	7.082086	an
7.082086	7.697415	adventure
