0.000000	0.359909	After
0.359909	0.603719	she
0.603719	0.940408	flew
0.940408	1.068118	the
1.068118	1.393197	rocket
1.393197	1.625397	ship
1.625397	1.892426	into
1.892426	2.554195	space
2.554195	2.693515	an
2.693515	3.030204	alien
3.030204	3.308844	space
3.308844	3.587483	ship
3.587483	3.831293	tried
3.831293	3.900952	to
3.900952	4.133152	shoot
4.133152	4.481451	laser
4.481451	4.725261	beams
4.725261	4.783311	at
4.783311	5.387029	her
5.387029	5.596009	She
5.596009	5.712109	had
5.712109	5.816599	to
5.816599	6.060408	dodge
6.060408	6.222948	her
6.222948	6.408707	ship
6.408707	6.664127	left
6.664127	6.849887	and
6.849887	7.465215	right
